ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,tp,profit,commission,swap,net_profit,reason,bars_held,duration_s,mae,mfe,mae_points,mfe_points,slippage_points,balance_after,equity_after,comment,magic,tag
37,EURUSDz,buy,1.55,2023-10-12 10:15:00,1.06209,2023-10-12 10:55:00,1.06179,1.06181,1.06396,-46.49999999999488,10.85,0.0,-57.34999999999488,SL,7,2400.0,-37.20000000000279,89.90000000000387,-24.000000000001794,58.00000000000249,-0.7286696367749466,9588.619999999984,9618.844999999976,fade breakout down,0,long
38,EURUSDz,sell,2.39,2023-10-16 09:30:00,1.05383,2023-10-16 09:40:00,1.05403,1.05402,1.05225,-47.79999999999474,16.73,0.0,-64.52999999999474,SL,1,600.0,-16.729999999950397,23.900000000050436,-6.999999999979244,10.000000000021103,1.4942246290476133,9524.08999999999,9577.865000000022,fade breakout up,0,short
39,EURUSDz,buy,1.36,2023-10-17 08:45:00,1.05356,2023-10-17 10:05:00,1.05548,1.05321,1.05548,261.1199999999894,9.520000000000001,0.0,251.59999999998936,TP,15,4800.0,-35.360000000020264,255.67999999998392,-26.000000000014897,187.99999999998815,1.1827303259226234,9775.689999999979,9766.84999999998,fade breakout down,0,long
40,EURUSDz,sell,1.22,2023-10-19 10:20:00,1.05461,2023-10-19 10:45:00,1.05503,1.05502,1.05282,-51.23999999998352,8.54,0.0,-59.77999999998352,SL,4,1500.0,-39.039999999984865,17.080000000003537,-31.99999999998759,14.000000000002897,1.9198190802166972,9715.909999999994,9740.919999999995,fade breakout up,0,short
41,EURUSDz,sell,1.12,2023-10-26 08:25:00,1.05469,2023-10-26 08:55:00,1.05515,1.05514,1.0533,-51.52000000001423,7.840000000000001,0.0,-59.36000000001423,SL,5,1800.0,-21.2799999999902,24.63999999998734,-18.999999999991246,21.99999999998869,3.9668878249678112,9656.54999999998,9700.789999999995,fade breakout up,0,short
42,EURUSDz,sell,0.81,2023-10-27 13:15:00,1.05661,2023-10-27 13:25:00,1.05725,1.05719,1.05521,-51.839999999997886,5.67,0.0,-57.50999999999789,SL,1,600.0,-22.679999999986713,8.100000000017094,-27.99999999998359,10.000000000021103,5.806487335798822,9599.039999999983,9644.804999999993,fade breakout up,0,short
43,EURUSDz,buy,0.88,2023-10-30 08:45:00,1.05565,2023-10-30 09:05:00,1.05675,1.05511,1.05675,96.80000000000888,6.16,0.0,90.64000000000888,TP,3,1200.0,-13.199999999988776,36.96000000000765,-14.999999999987244,42.0000000000087,-0.30585435617405277,9689.679999999991,9626.75999999999,fade breakout down,0,long
44,EURUSDz,buy,0.89,2023-10-31 15:15:00,1.05942,2023-10-31 15:20:00,1.05887,1.05888,1.06258,-48.95000000000449,6.23,0.0,-55.1800000000045,SL,0,300.0,-94.34000000000542,5.3399999999954595,-106.00000000000608,5.999999999994897,2.605199152412951,9634.499999999987,9612.694999999982,fade breakout down,0,long
45,EURUSDz,buy,2.18,2023-11-01 08:25:00,1.05594,2023-11-01 09:30:00,1.0557,1.05569,1.05776,-52.32000000000393,15.260000000000002,0.0,-67.58000000000393,SL,12,3900.0,-45.78000000000948,76.2999999999674,-21.00000000000435,34.99999999998504,-0.36117848821605636,9566.919999999984,9591.989999999952,fade breakout down,0,long
46,EURUSDz,buy,0.83,2023-11-02 08:15:00,1.05979,2023-11-02 08:20:00,1.05917,1.05919,1.06102,-51.460000000005394,5.81,0.0,-57.270000000005396,SL,0,300.0,-53.11999999999783,0.0,-63.999999999997385,0.0,6.478165739967746,9509.649999999978,9521.684999999981,fade breakout down,0,long
47,EURUSDz,buy,0.64,2023-11-03 08:10:00,1.06306,2023-11-03 08:25:00,1.06226,1.06228,1.06337,-51.19999999999436,4.48,0.0,-55.679999999994365,SL,2,900.0,-17.279999999999518,9.600000000006048,-26.999999999999243,15.000000000009448,6.050768486141363,9453.969999999983,9499.08999999998,fade breakout down,0,long
48,EURUSDz,buy,1.68,2023-11-06 15:20:00,1.07331,2023-11-06 15:40:00,1.07292,1.07297,1.07564,-65.5199999999816,11.76,0.0,-77.2799999999816,SL,3,1200.0,-35.280000000007306,20.160000000020162,-21.00000000000435,12.000000000012,6.929024860915211,9376.690000000002,9416.169999999998,fade breakout down,0,long
49,EURUSDz,buy,0.97,2023-11-07 10:25:00,1.06946,2023-11-07 10:40:00,1.06895,1.069,1.07118,-49.470000000001015,6.79,0.0,-56.260000000001014,SL,2,900.0,-21.340000000010573,27.159999999984084,-22.000000000010896,27.99999999998359,3.5655374659711696,9320.43,9363.595000000003,fade breakout down,0,long
50,EURUSDz,sell,0.64,2023-11-08 15:40:00,1.06876,2023-11-08 15:50:00,1.06954,1.0695,1.06714,-49.920000000000186,4.48,0.0,-54.40000000000019,SL,1,600.0,-19.840000000002078,13.440000000002783,-31.000000000003244,21.00000000000435,5.156513942212429,9266.03,9298.349999999999,fade breakout up,0,short
51,EURUSDz,buy,2.1,2023-11-09 10:20:00,1.06945,2023-11-09 10:30:00,1.06918,1.06919,1.07103,-56.69999999999842,14.700000000000001,0.0,-71.39999999999841,SL,1,600.0,-31.50000000001985,25.199999999978576,-15.000000000009448,11.999999999989795,3.49744334365891,9194.630000000001,9273.380000000003,fade breakout down,0,long
52,EURUSDz,sell,1.35,2023-11-10 09:55:00,1.06767,2023-11-10 10:55:00,1.06807,1.06803,1.06564,-54.00000000002404,9.450000000000001,0.0,-63.45000000002404,SL,11,3600.0,-45.900000000000944,98.54999999998614,-34.000000000000696,72.99999999998974,6.490112820225301,9131.179999999977,9145.355000000009,fade breakout up,0,short
53,EURUSDz,sell,0.78,2023-11-13 09:45:00,1.06938,2023-11-13 10:55:00,1.06994,1.06993,1.06835,-43.67999999999173,5.46,0.0,-49.13999999999173,SL,13,4200.0,-14.039999999988062,48.360000000005066,-17.999999999984695,62.00000000000649,-1.1977810059222809,9082.039999999985,9116.749999999987,fade breakout up,0,short
54,EURUSDz,sell,1.62,2023-11-14 09:30:00,1.07092,2023-11-14 09:40:00,1.07121,1.0712,1.0693,-46.97999999998404,11.34,0.0,-58.319999999984034,SL,1,600.0,-9.719999999955766,42.12000000002414,-5.999999999972693,26.000000000014897,0.5754483847408743,9023.720000000001,9097.430000000015,fade breakout up,0,short
